视频链接,评论页码,评论作者,评论时间,ip属地,点赞数,评论内容
https://www.bilibili.com/video/BV1To4y1b7xZ/,1,谈崩专家十六鱼,2023-04-20 23:10:16,山东,6172,其实抛弃旅游，这或许就是我们追求的社会主义吧，众人共同努力，团结互助，其乐融融。没有地域歧视、没有身份差异，有的只是真诚的心、开心的事。没有轰轰烈烈的淘浪，只有暖心滋润的细流，毕竟大家都是普通人[微笑]
https://www.bilibili.com/video/BV1To4y1b7xZ/,1,小莲Lotus,2023-05-02 01:21:21,湖北,2,淄博这样的态度，我相信即使之后热度褪去，以后我们每次想着要不要吃点烧烤，首选肯定是淄博，不用担心淄博会冷，这个城市会细水长流，最关键是，在全国人民心中，淄博被看见了
https://www.bilibili.com/video/BV1To4y1b7xZ/,1,齐国小民,2023-04-20 23:01:21,山东,1262,你好up，你在周村吃烧烤的这个地方，继续往南走还有一家宝藏小店，是做鱼的，物美价廉，人均40，只吃鱼吃到饱的那种。下次有机会再来淄博，可以请你尝尝吗？（我只是这家店的食客，就是觉得这种店该让大家知道。）
https://www.bilibili.com/video/BV1To4y1b7xZ/,1,是文文不是云云,2023-04-21 15:51:05,广东,6,大家如果五一想去山东海边玩，强烈推荐乳山呀呀呀呀。我疫情前去的真的非常棒。城市很安静离海超级近，海滩很干净。物价海鲜非常便宜！！山东生蚝看威海，威海生蚝看乳山。而且还可以爬山，那边有美院学生采风的地方。[打call][打call][打call]我不是山东人不是乳山的托。
https://www.bilibili.com/video/BV1To4y1b7xZ/,1,葡萄味的撒娇啊,2023-04-23 07:58:57,山东,759,现在八大局里面真没啥意思了，以前的种类确实很丰富，现在跟风全是炒锅饼，紫米饼，家家都是，每家的招牌全是，网红打卡炒锅饼，原创网红炒锅饼，网红公平秤打卡地，本来一个普普通通的菜市场，变成现在一个网红打卡地，说是话现在网红二字也并不是多褒义，现在下班买菜，至少要多走一公里。
https://www.bilibili.com/video/BV1To4y1b7xZ/,1,剪不断_-理还乱,2023-04-25 00:34:47,山东,8,现在淄博工商新注册了一千多家烧烤店，希望大家去的时候擦亮眼睛，因为新开的店我们本地人也不一定去过，味道价格质量我们没法给你们保证，但是遇到宰客的质量不过关的希望大家主动举报，让政府单位来处置这些商家。
https://www.bilibili.com/video/BV1To4y1b7xZ/,1,Maskang,2023-04-20 23:11:53,山东,325,我山东人，过年在媳妇老家，四川省巴中市平昌县西兴镇老街打印店，打了4张A4纸，黑白的，要了我40元[委屈]，非说都是这个价。老婆妹妹说他们去打是1元一张。洗车也是，本地人50，外地车牌要我80。大四川牛笔
https://www.bilibili.com/video/BV1To4y1b7xZ/,1,hidocchanjien,2023-04-20 23:17:34,山东,4,这保准有买不着票的淄博人，转个评论：淄博人五一回家买不到火车票怎么办(青岛方向除外)，不要买到淄博，一定要到济南，到济南站现场买临时退票的坐，或者出站直接大巴到张店客运中心。补充一句，淄川东关银座南边王强炸肉，买着当零食吃也赛
https://www.bilibili.com/video/BV1To4y1b7xZ/,1,注释者,2023-04-22 13:45:25,河南,3,哥们要小心啊，你是靠着诚信打假，帮大家踩坑避坑的，一定要小心别有用心的人毁了你这招牌，这么好的up一定要谨言慎行啊，这一期真的看的女很感动，希望将来市场环境越来越好
https://www.bilibili.com/video/BV1To4y1b7xZ/,1,我女朋喜欢看我穿黑丝,2023-04-20 23:11:11,上海,10540,淄博这次真的天时地利人和，你去成都那的时候，如果成都官方第一时间下场整改，淄博其实没那么好运气，成都民间急成什么样了，但官方觉得无所谓的样子，被骂成什么样了才做了点文章。 但你去淄博之后（虽然是好的结果），淄博官方第一时间下场外加宣发，真的是抓住了机会
